id,headline,description,publication_date,source,url
137937,San Vicente Ferrer 2025 en Valencia: cancelan la mascletà y la procesión por el apagón eléctrico,La ciudad había programado distintos actos este lunes para celebrar la festividad de su patrón,2025-04-27T15:43:42,ABC,https://www.abc.es/espana/comunidad-valenciana/san-vicente-ferrer-2025-valencia-horario-mascleta-20250427145756-nt.html
187662,Apagón nuclear: así nos afecta el cierre de las centrales,¿Cuánto queda para que se cierren las centrales nucleares? ¿Es una cuestión política? ¿Cómo de importante es esta energía? ¿Pagaremos más en la factura de la luz? ¿Se...,2025-04-27T22:00:00,El Mundo,https://www.elmundo.es/podcasts/el-mundo-al-dia/2025/04/28/680e789bfc6c83f0278b4576.html?intcmp=livefeed&catlivefeed=Podcast
187826,"Arrancar las centrales hidráulicas, activar al gas.... el protocolo de Red Eléctrica que en las próximas 10 horas tratará de sacar a España del apagón","Pasadas las 12:30 horas de este lunes, los monitores de Red Eléctrica, empezaron a detectar unas oscilaciones muy fuertes de la potencia del sistema eléctrico nacional. Tan...",2025-04-28T13:27:04,El Mundo,https://www.elmundo.es/economia/macroeconomia/2025/04/28/680f7d79e85ece01638b457e.html
605481,Los mejores trucos para no perder la conexión a Internet durante un corte de luz,"En un mundo cada vez más dependiente de la conectividad digital, los cortes de luz pueden ser devastadores, dejando a numerosos hogares y negocios sin acceso a Internet. Aunque mucha gente cree que estos cortes solo se producen con las tormentas eléctricas o demás adversidades climatológicas, lo cierto es que también se pueden dar cuando las temperaturas se disparan por encima de lo normal.",2025-04-28T13:48:45,Huffington Post,https://www.huffingtonpost.es/tecnologia/estos-son-mejores-trucos-perder-conexion-internet-corte-luz-rp.html
137140,Portugal apunta a España como origen del apagón en la península ibérica,El Gobierno crea un equipo para supervisar la incidencia y señala que puede haberse originado fuera del país,2025-04-28T13:57:42,ABC,https://www.abc.es/internacional/portugal-afectado-apagon-norte-sur-apunta-posible-20250428135742-nt.html
11932,Efectos del apagón masivo: pago en efectivo en los comercios y sucursales bancarias sin luz,Solo algunos bancos permiten el pago con tarjeta en sus terminales. No es posible retirar dinero de los cajeros automáticos,2025-04-28T14:13:25,El País,https://elpais.com/economia/2025-04-28/efectos-del-apagon-masivo-pago-en-efectivo-en-los-comercios-y-sucursales-bancarias-sin-luz.html
78439,¿Cuándo vuelve la luz? Así es el comunicado de Red Eléctrica con el que intentar solucionar el gran apagón en,"El conocido ya como el ""gran apagón"" ha dejado sin luz a toda España y parte de Francia, Portugal e Italia",2025-04-28T14:21:19,La Razón,https://www.larazon.es/economia/cuando-vuelve-luz-comunicado-red-electrica-intentar-solucionar-apagon-espana_20250428680f72bfe52da91ed53228cb.html
319614,El apagón más largo de la historia fue de casi un año y afectó a 2 millones de personas,"El apagón que ha afectado a toda la Península tan solo lleva unas horas sembrando el caos logístico en todas partes. Todo parece una anécdota, pues se espera que la incidencia se resuelva en poco tiempo. Pero, ¿qué sucedería si la red eléctrica quedara inutilizada durante casi un año?",2025-04-28T15:24:55,La Vanguardia,https://www.lavanguardia.com/neo/20250428/10625413/apagon-mas-largo-historia-un-ano-2017-afecto-2-millones-personas.html
44817,La causa del apagón: a las 12:33 desapareció el 60% de la energía que se estaba consumiendo,"La caída ""jamás vista"" se produjo durante cinco segundos de manera ""súbita""",2025-04-28T22:14:44,ElDiario.es,https://www.eldiario.es/politica/gobierno-achaca-subita-desaparicion-15-gigavatios-energia-colapso-electrico_1_12254575.html
222015,"Feijóo pide al Gobierno que ""al apagón eléctrico no se sume un apagón informativo""","El presidente del Partido Popular (PP), Alberto Núñez Feijóo, ha sido uno de los líderes políticos que han expresado ante los medios de comunicación su descontento con respecto a la falta de inform...",2025-04-28T22:32:04,Público,https://www.publico.es/politica/partidos/feijoo-reprocha-sanchez-falta-informacion-tres-comunidades-pp-piden-maximo-nivel-emergencia.html
548536,Desesperación en Sants: “Como viajo en Cercanías tendré que dormir en la calle”,"“Me estoy preparando para pasar la noche aquí, jamás me imaginé que dormiría en la calle, pero es lo que me va a tocar”, explica Alex, vecino de Segur de Calafell (El Vendrell), que viajaba en cercanías a las doce y media de la mañana pero se ha tenido que salir del tren debido al apagón masivo. A diferencia de los viajeros de Ave y Media Distancia, los viajeros de la red de cercanías, al igual que la prensa, tienen prohibido entrar en la estación.",2025-04-28T22:52:28,El Periódico,https://www.elperiodico.com/es/sociedad/20250428/desesperacion-sants-viajeros-cercanias-apagon-116834039
